ID,Gene Name,Species
ENSG00000067900,Rho associated coiled-coil containing protein kinase 1(ROCK1),Homo sapiens
ENSG00000134318,Rho associated coiled-coil containing protein kinase 2(ROCK2),Homo sapiens
ENSG00000132694,Rho guanine nucleotide exchange factor 11(ARHGEF11),Homo sapiens
ENSG00000160678,S100 calcium binding protein A1(S100A1),Homo sapiens
ENSG00000160307,S100 calcium binding protein B(S100B),Homo sapiens
ENSG00000183576,"SET domain containing 3, actin N3(tau)-histidine methyltransferase(SETD3)",Homo sapiens
ENSG00000168137,SET domain containing 5(SETD5),Homo sapiens
ENSG00000141750,SH3 and cysteine rich domain 2(STAC2),Homo sapiens
ENSG00000185482,SH3 and cysteine rich domain 3(STAC3),Homo sapiens
ENSG00000144681,SH3 and cysteine rich domain(STAC),Homo sapiens
ENSG00000161681,SH3 and multiple ankyrin repeat domains 1(SHANK1),Homo sapiens
ENSG00000162105,SH3 and multiple ankyrin repeat domains 2(SHANK2),Homo sapiens
ENSG00000251322,SH3 and multiple ankyrin repeat domains 3(SHANK3),Homo sapiens
ENSG00000168779,SHOX homeobox 2(SHOX2),Homo sapiens
ENSG00000126778,SIX homeobox 1(SIX1),Homo sapiens
ENSG00000138083,SIX homeobox 3(SIX3),Homo sapiens
ENSG00000184302,SIX homeobox 6(SIX6),Homo sapiens
ENSG00000184564,SLIT and NTRK like family member 6(SLITRK6),Homo sapiens
ENSG00000166949,SMAD family member 3(SMAD3),Homo sapiens
ENSG00000141646,SMAD family member 4(SMAD4),Homo sapiens
ENSG00000113658,SMAD family member 5(SMAD5),Homo sapiens
ENSG00000101665,SMAD family member 7(SMAD7),Homo sapiens
ENSG00000104133,"SPG11 vesicle trafficking associated, spatacsin(SPG11)",Homo sapiens
ENSG00000183018,"SPNS lysolipid transporter 2, sphingosine-1-phosphate(SPNS2)",Homo sapiens
ENSG00000197122,"SRC proto-oncogene, non-receptor tyrosine kinase(SRC)",Homo sapiens
ENSG00000100146,SRY-box transcription factor 10(SOX10),Homo sapiens
ENSG00000168875,SRY-box transcription factor 14(SOX14),Homo sapiens
ENSG00000125398,SRY-box transcription factor 9(SOX9),Homo sapiens
ENSG00000110080,"ST3 beta-galactoside alpha-2,3-sialyltransferase 4(ST3GAL4)",Homo sapiens
ENSG00000164438,T cell leukemia homeobox 3(TLX3),Homo sapiens
ENSG00000136535,T-box brain transcription factor 1(TBR1),Homo sapiens
ENSG00000184058,T-box transcription factor 1(TBX1),Homo sapiens
ENSG00000112837,T-box transcription factor 18(TBX18),Homo sapiens
ENSG00000121068,T-box transcription factor 2(TBX2),Homo sapiens
ENSG00000164532,T-box transcription factor 20(TBX20),Homo sapiens
ENSG00000135111,T-box transcription factor 3(TBX3),Homo sapiens
ENSG00000089225,T-box transcription factor 5(TBX5),Homo sapiens
ENSG00000198673,TAFA chemokine like family member 2(TAFA2),Homo sapiens
ENSG00000163377,TAFA chemokine like family member 4(TAFA4),Homo sapiens
ENSG00000144747,TATA element modulatory factor 1(TMF1),Homo sapiens
ENSG00000204634,TBC1 domain family member 8(TBC1D8),Homo sapiens
ENSG00000133138,TBC1 domain family member 8B(TBC1D8B),Homo sapiens
ENSG00000120156,TEK receptor tyrosine kinase(TEK),Homo sapiens
ENSG00000156299,TIAM Rac1 associated GEF 1(TIAM1),Homo sapiens
ENSG00000255833,TIFA inhibitor(TIFAB),Homo sapiens
ENSG00000100234,TIMP metallopeptidase inhibitor 3(TIMP3),Homo sapiens
ENSG00000067182,TNF receptor superfamily member 1A(TNFRSF1A),Homo sapiens
ENSG00000028137,TNF receptor superfamily member 1B(TNFRSF1B),Homo sapiens
ENSG00000146072,TNF receptor superfamily member 21(TNFRSF21),Homo sapiens
ENSG00000116783,TNNI3 interacting kinase(TNNI3K),Homo sapiens
ENSG00000100106,TRIO and F-actin binding protein(TRIOBP),Homo sapiens
ENSG00000165699,TSC complex subunit 1(TSC1),Homo sapiens
ENSG00000166402,TUB bipartite transcription factor(TUB),Homo sapiens
ENSG00000112041,TUB like protein 1(TULP1),Homo sapiens
ENSG00000104804,TUB like protein 2(TULP2),Homo sapiens
ENSG00000244122,UDP glucuronosyltransferase family 1 member A7(UGT1A7),Homo sapiens
ENSG00000173610,UDP glucuronosyltransferase family 2 member A1 complex locus(UGT2A1),Homo sapiens
ENSG00000170340,"UDP-GlcNAc:betaGal beta-1,3-N-acetylglucosaminyltransferase 2(B3GNT2)",Homo sapiens
ENSG00000148154,UDP-glucose ceramide glucosyltransferase(UGCG),Homo sapiens
ENSG00000006611,USH1 protein network component harmonin(USH1C),Homo sapiens
ENSG00000182040,USH1 protein network component sans(USH1G),Homo sapiens
ENSG00000101842,V-set and immunoglobulin domain containing 1(VSIG1),Homo sapiens
ENSG00000165633,V-set and transmembrane domain containing 4(VSTM4),Homo sapiens
ENSG00000143952,VPS54 subunit of GARP complex(VPS54),Homo sapiens
ENSG00000132970,WASP family member 3(WASF3),Homo sapiens
ENSG00000071127,WD repeat domain 1(WDR1),Homo sapiens
ENSG00000157796,WD repeat domain 19(WDR19),Homo sapiens
ENSG00000134987,WD repeat domain 36(WDR36),Homo sapiens
ENSG00000060237,WNK lysine deficient protein kinase 1(WNK1),Homo sapiens
ENSG00000126562,WNK lysine deficient protein kinase 4(WNK4),Homo sapiens
ENSG00000018408,WW domain containing transcription regulator 1(WWTR1),Homo sapiens
ENSG00000169884,Wnt family member 10B(WNT10B),Homo sapiens
ENSG00000143185,X-C motif chemokine ligand 2(XCL2),Homo sapiens
ENSG00000196236,X-prolyl aminopeptidase 3(XPNPEP3),Homo sapiens
ENSG00000176105,"YES proto-oncogene 1, Src family tyrosine kinase(YES1)",Homo sapiens
ENSG00000149658,YTH N6-methyladenosine RNA binding protein F1(YTHDF1),Homo sapiens
ENSG00000100811,YY1 transcription factor(YY1),Homo sapiens
ENSG00000137693,Yes1 associated transcriptional regulator(YAP1),Homo sapiens
ENSG00000043355,Zic family member 2(ZIC2),Homo sapiens
ENSG00000014257,acid phosphatase 3(ACP3),Homo sapiens
ENSG00000110881,acid sensing ion channel subunit 1(ASIC1),Homo sapiens
ENSG00000108684,acid sensing ion channel subunit 2(ASIC2),Homo sapiens
ENSG00000213199,acid sensing ion channel subunit 3(ASIC3),Homo sapiens
ENSG00000122729,aconitase 1(ACO1),Homo sapiens
ENSG00000143632,"actin alpha 1, skeletal muscle(ACTA1)",Homo sapiens
